round,cat,val,q,a,dd,x,y
jeopardy,"Guitar",200,"What is the most common type of guitar?", "Acoustic guitar",1,1,1
jeopardy,"Guitar",400,"Which guitar player is known for playing with their teeth?", "Jimi Hendrix",2,1,2
jeopardy,"Guitar",600,"What are the six strings of a standard guitar tuned to?", "E A D G B E",1,1,3
jeopardy,"Guitar",800,"Who invented the solid-body electric guitar?", "Les Paul",2,1,4
jeopardy,"Guitar",1000,"What is the process of bending guitar strings to change the pitch called?", "Bend",1,1,5
jeopardy,"3D Printing",200,"What is the process of converting a digital model into a physical object using additive manufacturing called?", "3D printing",2,2,1
jeopardy,"3D Printing",400,"What is the most common material used in consumer 3D printing?", "PLA (Polylactic Acid)",1,2,2
jeopardy,"3D Printing",600,"Which technology is used in SLA (Stereolithography) 3D printing?", "UV light curing of liquid resin",2,2,3
jeopardy,"3D Printing",800,"What is the term for the structure that supports overhanging parts during 3D printing?", "Support material or supports",1,2,4
jeopardy,"3D Printing",1000,"What is the name of the open-source 3D printer that gained popularity in the maker community?", "Prusa i3",2,2,5
jeopardy,"Computers",200,"What does CPU stand for in computing?", "Central Processing Unit",1,3,1
jeopardy,"Computers",400,"Which programming language is often used for web development and is known for its simplicity and readability?", "Python",2,3,2
jeopardy,"Computers",600,"What does HTML stand for in web development?", "Hypertext Markup Language",1,3,3
jeopardy,"Computers",800,"What is the name of the first widely used web browser?", "Netscape Navigator",2,3,4
jeopardy,"Computers",1000,"What is the term for malicious software that is disguised as legitimate software?", "Malware",1,3,5
jeopardy,"American Football",200,"How many points is a touchdown worth?", "6 points",2,4,1
jeopardy,"American Football",400,"What is the term for a pass that is caught by the opposing team?", "Interception",1,4,2
jeopardy,"American Football",600,"What is the name of the championship game of the National Football League (NFL)?", "Super Bowl",2,4,3
jeopardy,"American Football",800,"Which team has won the most Super Bowls as of 2021?", "New England Patriots",1,4,4
jeopardy,"American Football",1000,"Who holds the record for the most career touchdown passes in the NFL?", "Tom Brady",2,4,5
jeopardy,"Wildcard",200,"What is the process of adjusting the tension of a guitar's strings called?", "Tuning",1,5,1
jeopardy,"Wildcard",400,"Which software is commonly used for 3D modeling and rendering?", "Autodesk Maya",2,5,2
jeopardy,"Wildcard",600,"What is the primary function of the motherboard in a computer?", "Connect and communicate between various hardware components",1,5,3
jeopardy,"Wildcard",800,"What is the penalty for offensive holding in American football?", "10 yards from the spot of the foul",2,5,4
jeopardy,"Wildcard",1000,"What is the name of the process used to convert analog signals into digital form in audio recording?", "Analog-to-digital conversion",1,5,5
double,"Guitar",400,"Which guitar player popularized the tapping technique?", "Eddie Van Halen",2,1,1
double,"Guitar",800,"What is the name of the largest guitar manufacturer in the world?", "Fender",2,1,2
double,"Guitar",1200,"Who is known for playing a double-neck guitar in the song 'Stairway to Heaven'?", "Jimmy Page",1,1,3
double,"Guitar",1600,"What is the name of the effect that produces a sustained guitar sound by feeding back the amplified signal?", "Feedback",1,1,4
double,"Guitar",2000,"Which guitarist is known for playing a signature model called 'Frankenstrat'?", "Eddie Van Halen",2,1,5
double,"3D Printing",400,"Which 3D printing technology uses a laser to selectively fuse powdered material?", "Selective Laser Sintering (SLS)",2,2,1
double,"3D Printing",800,"What is the term for the process of 3D printing objects in multiple colors?", "Multicolor 3D printing",2,2,2
double,"3D Printing",1200,"What is the name of the 3D printing technology that uses a liquid photopolymer that solidifies when exposed to UV light?", "Digital Light Processing (DLP)",1,2,3
double,"3D Printing",1600,"Which 3D printing technology uses a nozzle to extrude molten plastic layer by layer?", "Fused Deposition Modeling (FDM)",1,2,4
double,"3D Printing",2000,"What is the term for the process of smoothing the surface of a 3D printed object using various techniques?", "Post-processing",1,2,5
double,"Computers",400,"What is the term for a small piece of code that performs a specific task and can be reused in different programs?", "Function or subroutine",2,3,1
double,"Computers",800,"What is the name of the programming language developed by Apple for iOS and macOS app development?", "Swift",2,3,2
double,"Computers",1200,"What does SSD stand for in computer storage?", "Solid State Drive",1,3,3
double,"Computers",1600,"What is the name of the first widely used graphical web browser?", "Mosaic",1,3,4
double,"Computers",2000,"What is the term for a network security system that monitors and filters incoming and outgoing network traffic?", "Firewall",2,3,5
double,"American Football",400,"What is the term for a play where the quarterback throws the ball to a receiver who is behind the line of scrimmage?", "Screen pass",2,4,1
double,"American Football",800,"Who is the all-time leading rusher in the NFL?", "Emmitt Smith",2,4,2
double,"American Football",1200,"What is the term for a fumble recovery by the defense in the opposing team's end zone?", "Touchdown",1,4,3
double,"American Football",1600,"Which team has won the most NFL championships prior to the Super Bowl era?", "Green Bay Packers",1,4,4
double,"American Football",2000,"Who is the only player to win five Super Bowl MVP awards?", "Tom Brady",2,4,5
double,"Wildcard",400,"What is the term for the technique of using multiple cameras to capture different angles of a scene in filmmaking?", "Multiple camera setup",2,5,1
double,"Wildcard",800,"What is the name of the computer input device that allows users to move the cursor on the screen?", "Mouse",1,5,2
double,"Wildcard",1200,"What is the term for the act of tackling the quarterback behind the line of scrimmage in American football?", "Sack",1,5,3
double,"Wildcard",1600,"What is the name of the process used to convert digital signals into analog form in audio playback?", "Digital-to-analog conversion",2,5,4
double,"Wildcard",2000,"Which company developed the first commercially successful handheld mobile phone?", "Motorola",2,5,5
final,"Final Jeopardy",0,"What is the term for the technique of using a 3D printer to create an object layer by layer?", "Additive manufacturing",false,1,1
