round,cat,val,q,a,dd,x,y
jeopardy,"Paradoxical Riddles",200,"What gets wetter as it dries?","A towel",true,1,1
jeopardy,"Paradoxical Riddles",400,"I speak without a mouth and hear without ears. I have no body, but I come alive with wind. What am I?","An echo",false,1,2
jeopardy,"Paradoxical Riddles",600,"The more you take, the more you leave behind. What am I?","Footsteps",false,1,3
jeopardy,"Paradoxical Riddles",800,"What can you catch, but not throw?","A cold",false,1,4
jeopardy,"Paradoxical Riddles",1000,"What has keys, but can't open locks?","A piano",false,1,5
jeopardy,"Paradoxical Dilemmas",200,"If you try to fail, and you succeed, which have you done?","Succeeded at failing",false,2,1
jeopardy,"Paradoxical Dilemmas",400,"What came first, the chicken or the egg?","Neither, it was the rooster's wake-up call",false,2,2
jeopardy,"Paradoxical Dilemmas",600,"Why do we park on driveways and drive on parkways?","Because language likes to keep us guessing",false,2,3
jeopardy,"Paradoxical Dilemmas",800,"If a tree falls in a forest and no one is around to hear it, does it make a sound?","Only if it lands on a car",false,2,4
jeopardy,"Paradoxical Dilemmas",1000,"If you're traveling at the speed of light and you turn on your headlights, what happens?","You have violated the laws of relativity",false,2,5
jeopardy,"Paradoxical Concepts",200,"What happens if Pinocchio says 'My nose will now grow'?","A paradox is born",false,3,1
jeopardy,"Paradoxical Concepts",400,"Can an omnipotent being create a stone it cannot lift?","That's a heavy question for a supposedly all-powerful being",false,3,2
jeopardy,"Paradoxical Concepts",600,"If you could go back in time and change the past, would your future self still want to go back and change it?","Time travel tends to mess with one's priorities",false,3,3
jeopardy,"Paradoxical Concepts",800,"What would happen if you found a book about your life that you haven't read yet?","You've stumbled upon a literary time loop",false,3,4
jeopardy,"Paradoxical Concepts",1000,"If there's an exception to every rule, is there an exception to that rule?","Yes, it's the rule itself",false,3,5
jeopardy,"Paradoxical Statements",200,"This statement is false.","Congratulations, you've entered a paradoxical realm",false,4,1
jeopardy,"Paradoxical Statements",400,"I know that I know nothing.","Ah, the paradox of wisdom",false,4,2
jeopardy,"Paradoxical Statements",600,"The following statement is true. The preceding statement is false.","The truth is a tangled web indeed",false,4,3
jeopardy,"Paradoxical Statements",800,"You must learn to fail in order to succeed.","Failure is the paradoxical path to success",false,4,4
jeopardy,"Paradoxical Statements",1000,"I always lie.","Well, that's a paradoxical predicament",false,4,5
jeopardy,"Paradoxical Phenomena",200,"What happens when an unstoppable force meets an immovable object?","They have a paradoxical standoff",false,5,1
jeopardy,"Paradoxical Phenomena",400,"What happens if you divide zero by zero?","Undefined? More like paradoxical",false,5,2
jeopardy,"Paradoxical Phenomena",600,"What happens when you travel to the edge of the universe?","You encounter the edge of your understanding",false,5,3
jeopardy,"Paradoxical Phenomena",800,"What happens when you mix matter and antimatter?","An explosive paradox",false,5,4
jeopardy,"Paradoxical Phenomena",1000,"What happens when you meet your future self?","You discover the paradox of self-reflection",false,5,5
jeopardy,"Paradoxical Quandaries",200,"What is the meaning of life, the universe, and everything?","The answer is 42, but the question remains paradoxical",false,6,1
jeopardy,"Paradoxical Quandaries",400,"Is it possible to have a square circle?","No, it's the epitome of geometric contradiction",false,6,2
jeopardy,"Paradoxical Quandaries",600,"Can you step into the same river twice?","You can step, but the river will never be the same",false,6,3
jeopardy,"Paradoxical Quandaries",800,"What's the sound of one hand clapping?","The sound of silence, paradoxically",false,6,4
jeopardy,"Paradoxical Quandaries",1000,"Can you create a rock so heavy that you cannot lift it?","Ah, the paradox of infinite strength and immovable objects",false,6,5
double,"Paradoxical Riddles",400,"What is always coming but never arrives?","Tomorrow",true,1,1
double,"Paradoxical Riddles",800,"What can you keep after giving it to someone else?","Your word",true,1,2
double,"Paradoxical Riddles",1200,"What belongs to you but is used more by others?","Your name",false,1,3
double,"Paradoxical Riddles",1600,"What has a heart that doesn't beat?","A deck of cards",false,1,4
double,"Paradoxical Riddles",2000,"I am taken from a mine, and shut in a wooden case, from which I am never released, and yet I am used by almost every person. What am I?","Pencil lead",false,1,5
double,"Paradoxical Dilemmas",400,"If you fail at failing, have you succeeded or failed?","You've successfully failed at failing",false,2,1
double,"Paradoxical Dilemmas",800,"Can you have a civil war?","A paradoxical conflict indeed",false,2,2
double,"Paradoxical Dilemmas",1200,"Is there such a thing as originality?","The paradox of creativity and influence",false,2,3
double,"Paradoxical Dilemmas",1600,"Can you have a mid-life crisis at the age of 25?","It's a paradoxical timeline of self-reflection",false,2,4
double,"Paradoxical Dilemmas",2000,"Can you change the world without changing yourself?","The paradox of societal transformation",false,2,5
double,"Paradoxical Concepts",400,"Can you be your own worst enemy?","A paradoxical battle within oneself",false,3,1
double,"Paradoxical Concepts",800,"What happens when an irresistible force meets an immovable ego?","A paradoxical clash of wills",false,3,2
double,"Paradoxical Concepts",1200,"Can you be lost if you don't know where you're going?","The paradox of navigation and purpose",false,3,3
double,"Paradoxical Concepts",1600,"Can you find yourself by losing yourself?","A paradoxical journey of self-discovery",false,3,4
double,"Paradoxical Concepts",2000,"Can you gain everything and still feel empty?","The paradox of abundance and fulfillment",false,3,5
double,"Paradoxical Statements",400,"This statement is a lie.","A paradoxical web of truth and deception",false,4,1
double,"Paradoxical Statements",800,"Everything I say is a lie.","A paradoxical loop of truth and falsehood",false,4,2
double,"Paradoxical Statements",1200,"If I tell you I'm a liar, do you believe me?","A paradoxical test of trust and deception",false,4,3
double,"Paradoxical Statements",1600,"Paradoxically speaking, can you think without thinking?","The paradox of conscious thought",false,4,4
double,"Paradoxical Statements",2000,"Can you be sure you're unsure?","A paradoxical state of certainty and doubt",false,4,5
double,"Paradoxical Phenomena",400,"Can something be both a wave and a particle?","Welcome to the paradoxical realm of quantum physics",false,5,1
double,"Paradoxical Phenomena",800,"Can you see without using your eyes?","The paradox of perception and intuition",false,5,2
double,"Paradoxical Phenomena",1200,"Can you have darkness without light?","The paradox of illumination and shadows",false,5,3
double,"Paradoxical Phenomena",1600,"Can you have order without chaos?","A paradoxical dance of harmony and entropy",false,5,4
double,"Paradoxical Phenomena",2000,"Can you have time without change?","The paradox of temporal motion and stasis",false,5,5
double,"Paradoxical Quandaries",400,"If you could have any superpower, would you choose to have the ability to choose any superpower?","A paradoxical conundrum of infinite choice",false,6,1
double,"Paradoxical Quandaries",800,"Is it possible to live a life without regrets?","The paradox of experience and introspection",false,6,2
double,"Paradoxical Quandaries",1200,"If you can't find happiness, can you create it?","A paradoxical quest for personal fulfillment",false,6,3
double,"Paradoxical Quandaries",1600,"Can you find the answer if you don't know the question?","The paradox of knowledge and inquiry",false,6,4
double,"Paradoxical Quandaries",2000,"Can you be certain about uncertainty?","The paradox of epistemological certainty",false,6,5
final,"Paradoxical Enigmas",2000,"What is the paradoxical nature of existence?","To exist is to embrace paradox itself",false,7,1
