round,cat,val,q,a,dd,x,y
jeopardy,"Food Code Basics",200,"This organization is responsible for developing and maintaining the Michigan Food Code.", "What is the Michigan Department of Agriculture and Rural Development (MDARD)?",true,1,1
jeopardy,"Food Code Basics",400,"These are the two major categories of hazards addressed in the Michigan Food Code.", "What are biological hazards and physical hazards?",false,1,2
jeopardy,"Food Code Basics",600,"This term refers to the process of heating food to a specific temperature for a specific amount of time to eliminate or reduce microorganisms.", "What is pasteurization?",false,1,3
jeopardy,"Food Code Basics",800,"This is the minimum internal temperature that poultry must be cooked to according to the Michigan Food Code.", "What is 165°F (74°C)?",false,1,4
jeopardy,"Food Code Basics",1000,"This is the recommended temperature for holding hot food in order to prevent bacterial growth.", "What is 135°F (57°C) or above?",false,1,5
jeopardy,"Foodborne Illness",200,"This bacterium is commonly associated with undercooked ground beef and can cause foodborne illness.", "What is Escherichia coli (E. coli)?",false,2,1
jeopardy,"Foodborne Illness",400,"This foodborne pathogen is commonly found in raw or undercooked eggs and can cause Salmonellosis.", "What is Salmonella?",false,2,2
jeopardy,"Foodborne Illness",600,"This is the term used to describe the symptoms that occur within a short period of time after consuming contaminated food.", "What is acute foodborne illness?",false,2,3
jeopardy,"Foodborne Illness",800,"This viral pathogen is a leading cause of foodborne illness outbreaks associated with ready-to-eat foods.", "What is Norovirus?",false,2,4
jeopardy,"Foodborne Illness",1000,"This parasite can be found in undercooked or raw fish and can cause a foodborne illness called anisakiasis.", "What is Anisakis simplex?",false,2,5
jeopardy,"Food Safety Practices",200,"This term refers to the process of reducing the number of microorganisms on a surface to safe levels.", "What is sanitizing?",false,3,1
jeopardy,"Food Safety Practices",400,"These are the three components of the "Danger Zone" in which bacteria can grow rapidly.", "What are temperatures between 41°F (5°C) and 135°F (57°C)?",false,3,2
jeopardy,"Food Safety Practices",600,"This practice involves separating raw animal foods from ready-to-eat foods to prevent cross-contamination.", "What is the practice of cross-contamination prevention?",false,3,3
jeopardy,"Food Safety Practices",800,"This is the term used to describe a food item that has been exposed to a potential contamination source.", "What is a potentially hazardous food?",false,3,4
jeopardy,"Food Safety Practices",1000,"This is the minimum handwashing time recommended by the Michigan Food Code.", "What is 20 seconds?",false,3,5
jeopardy,"Food Service Inspections",200,"This is the term used to describe an official examination of a food establishment to ensure compliance with the Michigan Food Code.", "What is a food service inspection?",false,4,1
jeopardy,"Food Service Inspections",400,"This is the maximum allowable water temperature for manually washing dishes according to the Michigan Food Code.", "What is 110°F (43°C)?",false,4,2
jeopardy,"Food Service Inspections",600,"This is the term used to describe the process of heating food to a specific temperature and holding it at that temperature for a specific amount of time.", "What is time-temperature control?",false,4,3
jeopardy,"Food Service Inspections",800,"This is the frequency at which food service establishments in Michigan are typically inspected.", "What is at least once every two years?",false,4,4
jeopardy,"Food Service Inspections",1000,"This is the term used to describe a written document that outlines the procedures for safely handling food in a food service establishment.", "What is a food safety plan?",false,4,5
jeopardy,"Allergen Management",200,"This federal law requires food establishments to provide information about major food allergens.", "What is the Food Allergen Labeling and Consumer Protection Act (FALCPA)?",false,5,1
jeopardy,"Allergen Management",400,"This is the most common food allergen that must be clearly disclosed on food labels.", "What is peanuts?",false,5,2
jeopardy,"Allergen Management",600,"This is the term used to describe a severe allergic reaction that can be life-threatening.", "What is anaphylaxis?",false,5,3
jeopardy,"Allergen Management",800,"This is the term used to describe the process of preventing cross-contact with allergens during food preparation.", "What is allergen control?",false,5,4
jeopardy,"Allergen Management",1000,"This is the term used to describe a substance added to a food product that does not occur naturally in that food.", "What is a food additive?",false,5,5
