round,cat,val,q,a,dd,x,y
jeopardy,"Classic Memes",200,"This meme features a Shiba Inu dog with captions in broken English.","What is Doge?",true,1,1
jeopardy,"Classic Memes",400,"In this popular meme, a woman yells at a white cat sitting at a dinner table.","What is Woman Yelling at a Cat?",false,1,2
jeopardy,"Classic Memes",600,"This meme features a surprised-looking Pikachu from Pokémon.","What is Surprised Pikachu?",false,1,3
jeopardy,"Classic Memes",800,"In this meme, a boy confidently smirks at the camera while a house burns in the background.","What is Disaster Girl?",false,1,4
jeopardy,"Classic Memes",1000,"This meme, also known as the 'Keyboard Cat,' features a cat playing a musical instrument.","What is Play Him Off, Keyboard Cat?",false,1,5
jeopardy,"Viral Videos",200,"This video went viral when a baby danced to a catchy Korean song called 'Gangnam Style'.","What is 'Baby Gangnam Style'?",false,2,1
jeopardy,"Viral Videos",400,"This viral video features a group of people synchronized dancing to the song 'Harlem Shake'.","What is 'Harlem Shake'?",false,2,2
jeopardy,"Viral Videos",600,"This video became a meme when a kid pretended to be wielding a lightsaber and fought imaginary enemies.","What is 'Kid with Lightsaber'?",false,2,3
jeopardy,"Viral Videos",800,"This video became famous when a woman had a laughing fit during a news interview about a funny accident.","What is 'The Laughing News Lady'?",false,2,4
jeopardy,"Viral Videos",1000,"This viral video features a dramatic confrontation between a young boy and a sneezing panda.","What is 'Sneezing Baby Panda'?",false,2,5
jeopardy,"Internet Slang",200,"This acronym is used to express laughter in text messages and online chats.","What is LOL?",false,3,1
jeopardy,"Internet Slang",400,"This acronym stands for 'rolling on the floor laughing' and is used to express extreme laughter.","What is ROFL?",false,3,2
jeopardy,"Internet Slang",600,"This acronym is used to indicate agreement or approval.","What is TBH?",false,3,3
jeopardy,"Internet Slang",800,"This acronym stands for 'laugh out loud' and is often used sarcastically or ironically.","What is LMAO?",false,3,4
jeopardy,"Internet Slang",1000,"This acronym is used to acknowledge someone's statement or message.","What is IRL?",false,3,5
jeopardy,"Famous Memes",200,"This meme features a crying Jordan Peele from the movie 'Get Out'.","What is Crying Jordan?",false,4,1
jeopardy,"Famous Memes",400,"This meme shows a distracted boyfriend looking at another woman while his girlfriend is upset.","What is Distracted Boyfriend?",false,4,2
jeopardy,"Famous Memes",600,"This meme features a cartoon character called 'Pepe the Frog' often used in various contexts.","What is Pepe the Frog?",false,4,3
jeopardy,"Famous Memes",800,"This meme, also known as 'Salt Bae,' shows a chef sprinkling salt on food with a unique gesture.","What is Salt Bae?",false,4,4
jeopardy,"Famous Memes",1000,"This meme features a screenshot of a blue anthropomorphic bird named 'Bird Up'.","What is Bird Up?",false,4,5
jeopardy,"TikTok Trends",200,"This TikTok trend features people flipping a switch and swapping clothes and positions.","What is the 'Flip the Switch' challenge?",false,5,1
jeopardy,"TikTok Trends",400,"This popular TikTok dance involves a routine where users roll their arms and hit a woah move.","What is the 'Renegade' dance?",false,5,2
jeopardy,"TikTok Trends",600,"This trend involves people pretending to pause like mannequins while the camera moves around them.","What is the 'Mannequin Challenge'?",false,5,3
jeopardy,"TikTok Trends",800,"This TikTok trend features people transforming into different outfits or looks with a simple transition.","What is the 'Don't Rush' challenge?",false,5,4
jeopardy,"TikTok Trends",1000,"This TikTok dance trend features a routine where users perform a series of hand gestures to the beat of a song.","What is the 'Hand Emoji Challenge'?",false,5,5
jeopardy,"Meme Creators",200,"This artist is known for creating the 'Nyan Cat' meme.","Who is Chris Torres?",false,6,1
jeopardy,"Meme Creators",400,"This internet personality and musician created the 'Rickroll' meme.","Who is Rick Astley?",false,6,2
jeopardy,"Meme Creators",600,"This comedian and actor created the 'What's Up?' meme where he looks through a fence and asks, 'What's up?'","Who is Rolf Harris?",false,6,3
jeopardy,"Meme Creators",800,"This artist created the popular 'Pepe the Frog' character that became a widely used meme.","Who is Matt Furie?",false,6,4
jeopardy,"Meme Creators",1000,"This artist and illustrator is known for creating the 'Doge' meme featuring a Shiba Inu dog.","Who is Kabosu?",false,6,5
double,"Meme Mashups",400,"This meme combines the characters SpongeBob SquarePants and Caveman SpongeBob.","What is SpongeGar?",true,1,1
double,"Meme Mashups",800,"This meme combines a picture of a cat and a Pop-Tart, creating a rainbow trail behind it.","What is Nyan Cat?",true,1,2
double,"Meme Mashups",1200,"This meme combines the characters of Spider-Man and various other characters dancing.","What is 'Spider-Man Pointing at Spider-Man'?",false,1,3
double,"Meme Mashups",1600,"This meme combines the characters Pepe the Frog and the singer John Cena.","What is 'Pepe the Cena'?",false,1,4
double,"Meme Mashups",2000,"This meme combines a video of a child saying 'I like turtles' with various images or videos.","What is 'I Like Turtles'?",false,1,5
double,"Meme References",400,"This meme phrase originated from the 'Honey Badger' video: 'Honey Badger don't _______.'","What is 'care'?",false,2,1
double,"Meme References",800,"This phrase, often used as a caption, is associated with a meme of a little girl giving a mischievous smile.","What is 'But that's none of my business'?",false,2,2
double,"Meme References",1200,"This phrase is commonly used as a response to a ridiculous or outrageous statement, originating from a viral video.","What is 'Ain't nobody got time for that'?",false,2,3
double,"Meme References",1600,"This phrase, often used sarcastically, originates from a video where a woman asks a child, 'Why you always _______?'","What is 'lying'?",false,2,4
double,"Meme References",2000,"This phrase, often used to express confusion, is associated with a meme featuring a picture of a woman tapping her forehead.","What is 'Big Brain'?",false,2,5
double,"Meme Celebrities",400,"This internet celebrity rose to fame with her viral video 'Friday' and became a meme sensation.","Who is Rebecca Black?",false,3,1
double,"Meme Celebrities",800,"This YouTuber and comedian gained popularity with his videos 'Gangnam Style' and 'Gentleman'.","Who is Psy?",false,3,2
double,"Meme Celebrities",1200,"This internet personality became a meme after her video 'Cash Me Outside' went viral.","Who is Danielle Bregoli (Bhad Bhabie)?",false,3,3
