round,cat,val,q,a,dd,x,y
jeopardy,"A CATEGORY",200,"Which game introduced the character Mario?","Super Mario Bros.",true,1,1
jeopardy,"A CATEGORY",400,"In the game 'The Legend of Zelda', what is the main character's name?","Link",false,1,2
jeopardy,"A CATEGORY",600,"Which company developed the game 'Fortnite'?","Epic Games",false,1,3
jeopardy,"A CATEGORY",800,"What is the best-selling video game of all time?","Minecraft",false,1,4
jeopardy,"A CATEGORY",1000,"Which game features a character named Kratos who seeks revenge against the gods of Olympus?","God of War",false,1,5
jeopardy,"ANOTHER CATEGORY",200,"In the game 'Overwatch', which character can freeze enemies with her Endothermic Blaster?","Mei",false,2,1
jeopardy,"ANOTHER CATEGORY",400,"What is the name of the iconic weapon in the 'Halo' series?","Energy Sword",false,2,2
jeopardy,"ANOTHER CATEGORY",600,"Which popular game features a virtual block-building world?","Minecraft",false,2,3
jeopardy,"ANOTHER CATEGORY",800,"What is the name of the main protagonist in the 'Assassin's Creed' series?","Eivor",false,2,4
jeopardy,"ANOTHER CATEGORY",1000,"Which game features a character named Geralt of Rivia, a professional monster hunter?","The Witcher 3: Wild Hunt",false,2,5
jeopardy,"CATEGORY 3",200,"In the game 'Pokémon', which type is strong against Psychic-type Pokémon?","Dark",false,3,1
jeopardy,"CATEGORY 3",400,"Which game features the character Ellie, a young girl immune to a fungal infection?","The Last of Us",false,3,2
jeopardy,"CATEGORY 3",600,"What is the name of the main character in the 'Metal Gear Solid' series?","Solid Snake",false,3,3
jeopardy,"CATEGORY 3",800,"Which game is set in the fictional world of Tamriel?","The Elder Scrolls V: Skyrim",false,3,4
jeopardy,"CATEGORY 3",1000,"Which game features a character named Arthur Morgan, a member of the Van der Linde gang?","Red Dead Redemption 2",false,3,5
jeopardy,"CATEGORY 4",200,"In the game 'World of Warcraft', what is the name of the largest city for the Alliance?","Stormwind",false,4,1
jeopardy,"CATEGORY 4",400,"What is the name of the main character in the 'Uncharted' series?","Nathan Drake",false,4,2
jeopardy,"CATEGORY 4",600,"Which game features a character named Ezio Auditore da Firenze, an Italian assassin?","Assassin's Creed II",false,4,3
jeopardy,"CATEGORY 4",800,"In the game 'Final Fantasy VII', what is the name of the main protagonist?","Cloud Strife",false,4,4
jeopardy,"CATEGORY 4",1000,"In the game 'Mass Effect', what is the name of the alien race known for their biotic abilities?","Asari",false,4,5
jeopardy,"CATEGORY 5",200,"Which game franchise features the character Master Chief?","Halo",false,5,1
jeopardy,"CATEGORY 5",400,"In the game 'The Witcher 3: Wild Hunt', what is the name of the continent where the game is set?","The Continent",false,5,2
jeopardy,"CATEGORY 5",600,"Which game series is set in the fictional city of Rapture?","BioShock",false,5,3
jeopardy,"CATEGORY 5",800,"In the game 'Fallout 4', which iconic weapon can be found in the city of Concord?","Minigun",false,5,4
jeopardy,"CATEGORY 5",1000,"In the game 'The Elder Scrolls IV: Oblivion', who is the Daedric Prince of Madness?","Sheogorath",false,5,5
jeopardy,"CATEGORY 6",200,"Which game features the character Lara Croft, an archaeologist and adventurer?","Tomb Raider",false,6,1
jeopardy,"CATEGORY 6",400,"In the game 'League of Legends', which role is typically played in the jungle?","Jungler",false,6,2
jeopardy,"CATEGORY 6",600,"What is the name of the main character in the 'Far Cry' series?","Jason Brody",false,6,3
jeopardy,"CATEGORY 6",800,"Which game features the character Joel, a survivor in a post-apocalyptic world?","The Last of Us",false,6,4
jeopardy,"CATEGORY 6",1000,"In the game 'Cyberpunk 2077', what is the name of the protagonist?","V",false,6,5
double,"A CATEGORY",400,"Which game franchise features the character Samus Aran?","Metroid",true,1,1
double,"A CATEGORY",800,"In the game 'Super Smash Bros. Ultimate', how many playable fighters are there?","74",true,1,2
double,"A CATEGORY",1200,"In the game 'The Legend of Zelda: Breath of the Wild', what is the name of the kingdom where the game takes place?","Hyrule",false,1,3
double,"A CATEGORY",1600,"Which game features the character Marcus Fenix and his battle against the Locust Horde?","Gears of War",false,1,4
double,"A CATEGORY",2000,"In the game 'Celeste', what is the main character's name?","Madeline",false,1,5
double,"ANOTHER CATEGORY",400,"Which game series is set in the post-apocalyptic Mojave Desert?","Fallout",false,2,1
double,"ANOTHER CATEGORY",800,"In the game 'Resident Evil 2', what is the name of the rookie police officer who is one of the main protagonists?","Leon S. Kennedy",false,2,2
double,"ANOTHER CATEGORY",1200,"Which game features the character Geralt of Rivia, a professional monster hunter known as a Witcher?","The Witcher 3: Wild Hunt",false,2,3
double,"ANOTHER CATEGORY",1600,"In the game 'Street Fighter II', what is the name of the character who is a yoga master?","Dhalsim",false,2,4
double,"ANOTHER CATEGORY",2000,"Which game series is set in the fictional city of Dunwall?","Dishonored",false,2,5
double,"CATEGORY 3",400,"In the game 'Super Mario Bros.', what is the name of Mario's brother?","Luigi",false,3,1
double,"CATEGORY 3",800,"Which game features the character Arthur Morgan, a member of the Van der Linde gang in the late 1800s?","Red Dead Redemption 2",false,3,2
double,"CATEGORY 3",1200,"What is the name of the main antagonist in the 'Metal Gear Solid' series?","Liquid Snake",false,3,3
double,"CATEGORY 3",1600,"In the game 'Half-Life 2', what is the name of the protagonist?","Gordon Freeman",false,3,4
double,"CATEGORY 3",2000,"Which game features the character Commander Shepard, who leads a team to save the galaxy from an ancient machine race?","Mass Effect",false,3,5
double,"CATEGORY 4",400,"In the game 'The Legend of Zelda: Ocarina of Time', what is the name of the horse ridden by Link?","Epona",false,4,1
