round,cat,val,q,a,dd,x,y
jeopardy,"Punk History",200,"What year did punk rock emerge as a music genre?","1970s",true,1,1
jeopardy,"Punk History",400,"Which city is often considered the birthplace of punk rock?","New York City",false,1,2
jeopardy,"Punk History",600,"Who is credited with starting the punk rock movement?","Malcolm McLaren",false,1,3
jeopardy,"Punk History",800,"Which punk band released the album 'Never Mind the Bollocks, Here's the Sex Pistols'?","Sex Pistols",false,1,4
jeopardy,"Punk History",1000,"What punk band is known for the song 'Anarchy in the U.K.'?","Sex Pistols",false,1,5
jeopardy,"Punk Bands",200,"Which punk band is famous for the song 'Blitzkrieg Bop'?","Ramones",false,2,1
jeopardy,"Punk Bands",400,"Who is the lead vocalist of the punk band 'The Clash'?","Joe Strummer",false,2,2
jeopardy,"Punk Bands",600,"Which punk band released the album 'London Calling'?","The Clash",false,2,3
jeopardy,"Punk Bands",800,"Which punk band is known for the song 'I Wanna Be Sedated'?","Ramones",false,2,4
jeopardy,"Punk Bands",1000,"Who is the lead singer of the punk band 'The Damned'?","Dave Vanian",false,2,5
jeopardy,"Punk Fashion",200,"What type of jacket is often associated with punk fashion?","Leather jacket",false,3,1
jeopardy,"Punk Fashion",400,"What is the name of the hairstyle associated with punk rock, featuring a long, spiked strip of hair?","Mohawk",false,3,2
jeopardy,"Punk Fashion",600,"Which punk band popularized safety pins as fashion accessories?","Sex Pistols",false,3,3
jeopardy,"Punk Fashion",800,"What type of pants are commonly worn in punk fashion?","Ripped jeans",false,3,4
jeopardy,"Punk Fashion",1000,"What color is often associated with punk fashion?","Black",false,3,5
jeopardy,"Punk Lyrics",200,"Complete the lyrics: 'I'm a ______, I'm a rocker, I'm a roller, I'm a out-of-controller.'","Street punk",false,4,1
jeopardy,"Punk Lyrics",400,"Complete the lyrics: 'Hey ho, let's go! Hey ho, let's go! ______ ______ ______ ______!'","They're forming in a straight line",false,4,2
jeopardy,"Punk Lyrics",600,"Complete the lyrics: 'Anarchy for the U.K. It's coming sometime, and maybe ______.'","I give a wrong time, stop a traffic line",false,4,3
jeopardy,"Punk Lyrics",800,"Complete the lyrics: 'Gabba gabba, hey! Gabba gabba, hey! ______ ______ ______ ______ ______ ______!'","Gabba gabba, hey! Gabba gabba, hey! Let's keep it in control",false,4,4
jeopardy,"Punk Lyrics",1000,"Complete the lyrics: 'Teenage ______ ______, the prime time wasters.'","Teenage lobotomy, the prime time wasters",false,4,5
