round,cat,val,q,a,dd,x,y
jeopardy,"Characters",200,"This character from 'The Office' is known for his awkwardness and love for bears.","Who is Dwight Schrute?",true,1,1
jeopardy,"Characters",400,"This character is the regional manager of Dunder Mifflin Scranton in 'The Office'.","Who is Michael Scott?",false,1,2
jeopardy,"Characters",600,"This character is known for her no-nonsense attitude and often serves as the voice of reason in 'The Office'.","Who is Pam Beesly?",false,1,3
jeopardy,"Characters",800,"This character is a salesman in 'The Office' who is notorious for his love of pranks.","Who is Jim Halpert?",false,1,4
jeopardy,"Characters",1000,"This character is the eccentric boss of Dunder Mifflin Scranton's warehouse in 'The Office'.","Who is Darryl Philbin?",false,1,5
jeopardy,"Episodes",200,"This episode of 'The Office' features a fire drill that leads to chaos and reveals hidden secrets.","What is 'Stress Relief'?",false,2,1
jeopardy,"Episodes",400,"In this episode of 'The Office', the employees participate in the annual 'Dundie Awards'.","What is 'The Dundies'?",false,2,2
jeopardy,"Episodes",600,"This episode of 'The Office' is known for its iconic cold open where the employees lip-sync and dance to 'Nobody But Me'.","What is 'Lip Dub'?",false,2,3
jeopardy,"Episodes",800,"In this episode of 'The Office', the employees participate in a company-wide weight loss competition.","What is 'Weight Loss'?",false,2,4
jeopardy,"Episodes",1000,"This episode of 'The Office' takes place during the annual 'Dundler Mifflin Infinity' company picnic.","What is 'Company Picnic'?",false,2,5
jeopardy,"Quotes",200,"This iconic quote from 'The Office' is often used to describe an awkward situation: 'That's what she _____.'","What is 'said'?",false,3,1
jeopardy,"Quotes",400,"This quote from 'The Office' is often used to express disbelief or surprise: 'I'm not ______, I'm just passionate.'","What is 'superstitious'?",false,3,2
jeopardy,"Quotes",600,"This quote from 'The Office' is often used as a sarcastic response to a mistake: 'I'm not ______, it's just my process.'","What is 'making mistakes'?",false,3,3
jeopardy,"Quotes",800,"This quote from 'The Office' is often used to express frustration: 'Bears, beets, ______.'","What is 'Battlestar Galactica'?",false,3,4
jeopardy,"Quotes",1000,"This quote from 'The Office' is often used to mock someone's lack of knowledge: 'Why waste time say lot word when few word ______?'","What is 'do trick'?",false,3,5
jeopardy,"Romantic Relationships",200,"This couple from 'The Office' has an on-again, off-again relationship throughout the series.","Who are Jim Halpert and Pam Beesly?",false,4,1
jeopardy,"Romantic Relationships",400,"This character from 'The Office' develops a romantic relationship with the receptionist Pam Beesly.","Who is Jim Halpert?",false,4,2
jeopardy,"Romantic Relationships",600,"This couple from 'The Office' secretly dates while working together at Dunder Mifflin Scranton.","Who are Angela Martin and Dwight Schrute?",false,4,3
jeopardy,"Romantic Relationships",800,"This character from 'The Office' has a complicated romantic relationship with Jan Levinson.","Who is Michael Scott?",false,4,4
jeopardy,"Romantic Relationships",1000,"This character from 'The Office' has a long-distance relationship with a salesman from the Stamford branch.","Who is Kelly Kapoor?",false,4,5
jeopardy,"Pranks",200,"In 'The Office', Jim often plays this prank on Dwight by putting his belongings inside this office supply item.","What is a Jello mold?",false,5,1
jeopardy,"Pranks",400,"In one episode of 'The Office', Jim convinces Dwight that he is turning into this mythical creature.","What is a vampire?",false,5,2
jeopardy,"Pranks",600,"Jim's most elaborate prank on Dwight involves convincing him that he is an agent named this.","Who is 'Special Agent Jim Halpert'?",false,5,3
jeopardy,"Pranks",800,"In this prank from 'The Office', Jim hides Andy Bernard's cellphone in this object.","What is the ceiling?",false,5,4
jeopardy,"Pranks",1000,"This prank from 'The Office' involves Jim wrapping Dwight's desk and office supplies in this material.","What is wrapping paper?",false,5,5
jeopardy,"Supporting Characters",200,"This character from 'The Office' is known for his unique fashion sense and love for beet farming.","Who is Mose Schrute?",false,6,1
jeopardy,"Supporting Characters",400,"This character from 'The Office' is a paper salesman who is constantly vying for the top spot in the sales charts.","Who is Andy Bernard?",false,6,2
jeopardy,"Supporting Characters",600,"This character from 'The Office' is the HR representative who often deals with the employees' personal issues.","Who is Toby Flenderson?",false,6,3
jeopardy,"Supporting Characters",800,"This character from 'The Office' is a salesman who is known for his witty remarks and love for food.","Who is Stanley Hudson?",false,6,4
jeopardy,"Supporting Characters",1000,"This character from 'The Office' is the eccentric boss of Dunder Mifflin Scranton.","Who is Creed Bratton?",false,6,5
double,"Episodes",400,"In this episode of 'The Office', the employees participate in a murder mystery game.","What is 'Murder'?",true,2,1
double,"Episodes",800,"In this episode of 'The Office', the employees play a game of basketball against the warehouse workers.","What is 'Basketball'?",true,2,2
double,"Episodes",1200,"This two-part episode of 'The Office' focuses on the company's annual 'Beach Games'.","What is 'Beach Games'?",false,2,3
double,"Episodes",1600,"In this episode of 'The Office', Michael hosts a dinner party at his condo.","What is 'Dinner Party'?",false,2,4
double,"Episodes",2000,"In this episode of 'The Office', Jim and Pam get married at Niagara Falls.","What is 'Niagara'?",false,2,5
double,"Quotes",400,"This quote from 'The Office' is often used to express Dwight's admiration for Michael: 'I am ______ as a compliment.'","What is 'better than you'?",false,3,1
