round,cat,val,q,a,dd,x,y
jeopardy,"A CATEGORY",200,"Who is the host of Last Week Tonight?", "John Oliver",true,1,1
jeopardy,"A CATEGORY",400,"Which comedian was a correspondent on The Daily Show?", "John Oliver",false,1,2
jeopardy,"A CATEGORY",600,"Who voiced the character Zazu in the 2019 film The Lion King?", "John Oliver",false,1,3
jeopardy,"A CATEGORY",800,"Which HBO show features comedic deep dives into various topics?", "John Oliver",false,1,4
jeopardy,"A CATEGORY",1000,"Who won multiple Primetime Emmy Awards for Outstanding Variety Talk Series?", "John Oliver",false,1,5
jeopardy,"ANOTHER CATEGORY",200,"What is the name of John Oliver's weekly news satire program?", "John Oliver",false,2,1
jeopardy,"ANOTHER CATEGORY",400,"Which British-born comedian hosted the 2019 Academy Awards?", "John Oliver",false,2,2
jeopardy,"ANOTHER CATEGORY",600,"Who played the role of Professor Ian Duncan on the TV show Community?", "John Oliver",false,2,3
jeopardy,"ANOTHER CATEGORY",800,"Which late-night talk show features segments like 'And Now This' and 'How Is This Still a Thing?'", "John Oliver",false,2,4
jeopardy,"ANOTHER CATEGORY",1000,"Who released the stand-up comedy specials 'Terrifying Times' and 'Falling from Grace'?", "John Oliver",false,2,5
jeopardy,"CATEGORY 3",200,"Which comedian was born in Birmingham, England?", "John Oliver",false,3,1
jeopardy,"CATEGORY 3",400,"Who guest-starred as Wax Sherlock Holmes on the TV show Rick and Morty?", "John Oliver",false,3,2
jeopardy,"CATEGORY 3",600,"Who portrayed the character Vanity Smurf in the film The Smurfs?", "John Oliver",false,3,3
jeopardy,"CATEGORY 3",800,"Which comedian voiced the character Tunnel King in the animated film The Dark Knight Returns, Part 2?", "John Oliver",false,3,4
jeopardy,"CATEGORY 3",1000,"Who wrote and starred in the comedy series John Oliver's New York Stand-Up Show?", "John Oliver",false,3,5
jeopardy,"CATEGORY 4",200,"Who played the character Harry in the 2019 film Wonder Park?", "John Oliver",false,4,1
jeopardy,"CATEGORY 4",400,"Which comedian won a Primetime Emmy Award for Outstanding Writing for a Variety Series?", "John Oliver",false,4,2
jeopardy,"CATEGORY 4",600,"Who voiced the character Vanity Smurf in the film Smurfs: The Lost Village?", "John Oliver",false,4,3
