round,cat,val,q,a,dd,x,y
jeopardy,"A CATEGORY",200,"What is the purpose of the Etsy Seller Guidebook?","To provide guidance and resources for Etsy sellers",true,1,1
jeopardy,"A CATEGORY",400,"What section of the Etsy Seller Guidebook covers shop policies?","Shop Policies and Best Practices",false,1,2
jeopardy,"A CATEGORY",600,"Where can sellers find information about Etsy's seller fees?","In the Pricing and Payments section of the Guidebook",false,1,3
jeopardy,"A CATEGORY",800,"What are some key tips for optimizing product listings, according to the Guidebook?","Use high-quality photos, write detailed descriptions, and include relevant tags",false,1,4
jeopardy,"A CATEGORY",1000,"What resources are available in the Etsy Seller Guidebook to help sellers promote their shops?","Tips for marketing, social media strategies, and advertising options",false,1,5
jeopardy,"ANOTHER CATEGORY",200,"What is the recommended way for sellers to handle customer inquiries and issues?","Promptly and professionally, with excellent customer service",false,2,1
jeopardy,"ANOTHER CATEGORY",400,"Where can sellers find information about shipping and fulfillment on Etsy?","In the Shipping and Fulfillment section of the Guidebook",false,2,2
jeopardy,"ANOTHER CATEGORY",600,"What are some best practices for creating effective product photos, as mentioned in the Guidebook?","Use natural lighting, showcase different angles, and provide scale references",false,2,3
jeopardy,"ANOTHER CATEGORY",800,"What is the purpose of the Shop Stats feature on Etsy?","To provide sellers with insights and analytics about their shop's performance",false,2,4
jeopardy,"ANOTHER CATEGORY",1000,"What are some strategies for building a brand identity on Etsy, according to the Guidebook?","Consistent branding, unique packaging, and personalized customer interactions",false,2,5
jeopardy,"CATEGORY 3",200,"What is the significance of having clear shop policies on Etsy?","To set expectations for buyers and establish guidelines for transactions",false,3,1
jeopardy,"CATEGORY 3",400,"How can sellers utilize the Etsy Seller Handbook in conjunction with the Etsy Seller Guidebook?","To access additional educational articles and resources for running a successful Etsy shop",false,3,2
jeopardy,"CATEGORY 3",600,"What are some important considerations when pricing products on Etsy, according to the Guidebook?","Cost of materials, time invested, market demand, and competitive pricing",false,3,3
jeopardy,"CATEGORY 3",800,"What is the purpose of the Etsy Advertising program?","To help sellers increase their visibility and reach more potential buyers on Etsy",false,3,4
jeopardy,"CATEGORY 3",1000,"What are some tips for providing excellent customer service on Etsy?","Responding promptly, resolving issues satisfactorily, and communicating clearly",false,3,5
jeopardy,"CATEGORY 4",200,"What is the importance of optimizing product titles and tags on Etsy?","To improve search visibility and help potential buyers find relevant products",false,4,1
jeopardy,"CATEGORY 4",400,"What section of the Etsy Seller Guidebook covers intellectual property and copyright infringement?","Intellectual Property and Protecting Your Work",false,4,2
