round,cat,val,q,a,dd,x,y
jeopardy,"Characters",200,"Who is the main protagonist in the movie 'Shrek'?","Shrek",true,1,1
jeopardy,"Characters",400,"What is the name of Shrek's loyal donkey companion?","Donkey",false,1,2
jeopardy,"Characters",600,"Which character in 'Shrek' is a beautiful princess cursed with an ogre form?","Princess Fiona",false,1,3
jeopardy,"Characters",800,"What is the name of Lord Farquaad's ruthless henchman in 'Shrek'?","Thelonious",false,1,4
jeopardy,"Characters",1000,"Who is the leader of the fairytale creatures in 'Shrek'?","Pinocchio",false,1,5
jeopardy,"Quotes",200,"Finish this iconic line from 'Shrek': 'In the morning, I'm making __________.'","waffles",false,2,1
jeopardy,"Quotes",400,"What does Shrek say to Donkey when they first meet?",""What are you doing in my swamp?!"",false,2,2
jeopardy,"Quotes",600,"What does Shrek tell Fiona about ogres in 'Shrek 2'?",""Ogres are like onions."",false,2,3
jeopardy,"Quotes",800,"Complete this quote from Lord Farquaad in 'Shrek': 'Some of you may die, but that is a risk I am willing to __________.'","take",false,2,4
jeopardy,"Quotes",1000,"What does Donkey say to Dragon when they first meet in 'Shrek'?",""Hey, there, sugar muffin!"",false,2,5
jeopardy,"Songs",200,"What is the name of the song sung by Smash Mouth that became synonymous with the 'Shrek' franchise?","All Star",false,3,1
jeopardy,"Songs",400,"Which song does Shrek and Fiona sing together at the end of 'Shrek 2'?","I'm a Believer",false,3,2
jeopardy,"Songs",600,"What song does Donkey sing to Dragon in 'Shrek'?",""I'm on My Way"",false,3,3
jeopardy,"Songs",800,"What is the name of the song that the Fairy Godmother sings in 'Shrek 2'?","Holding Out for a Hero",false,3,4
jeopardy,"Songs",1000,"Which song plays during the opening credits of 'Shrek'?",""Accidentally in Love"",false,3,5
jeopardy,"Locations",200,"What is the name of the swamp where Shrek resides?","Shrek's Swamp",false,4,1
jeopardy,"Locations",400,"Which town does Lord Farquaad rule over in 'Shrek'?","Duloc",false,4,2
jeopardy,"Locations",600,"Where does Shrek travel to rescue Princess Fiona in the first movie?","Dragon's Keep",false,4,3
jeopardy,"Locations",800,"What is the name of the high tower where Princess Fiona is held captive?","Fiona's Tower",false,4,4
jeopardy,"Locations",1000,"What is the name of the kingdom where Shrek and Fiona rule together?","Far Far Away",false,4,5
jeopardy,"Trivia",200,"What type of creature is Puss in Boots in the 'Shrek' franchise?","A cat",false,5,1
jeopardy,"Trivia",400,"Which actor provides the voice for Shrek in the movies?","Mike Myers",false,5,2
jeopardy,"Trivia",600,"What color are Shrek's eyes?","Brown",false,5,3
jeopardy,"Trivia",800,"What does Shrek use to scare away the villagers in the first movie?","Roaring",false,5,4
jeopardy,"Trivia",1000,"What food does Shrek describe as having layers, like an ogre?","Onions",false,5,5
jeopardy,"Sequels",200,"What is the title of the second 'Shrek' movie?","Shrek 2",false,6,1
jeopardy,"Sequels",400,"Which fairytale character becomes the main antagonist in 'Shrek the Third'?","Prince Charming",false,6,2
jeopardy,"Sequels",600,"In 'Shrek Forever After', what does Shrek do to change his life?","Makes a deal with Rumpelstiltskin",false,6,3
jeopardy,"Sequels",800,"Who is Shrek and Fiona's children's nanny in 'Shrek the Third'?","Snow White",false,6,4
jeopardy,"Sequels",1000,"Which character is revealed to be Puss in Boots' long-lost brother in 'Puss in Boots' (spin-off movie)?","Humpty Dumpty",false,6,5
double,"Characters",400,"What is the name of Shrek's best friend and sidekick?","Donkey",true,1,1
double,"Characters",800,"Who is the villainous prince who wants to marry Princess Fiona in the first 'Shrek' movie?","Lord Farquaad",true,1,2
double,"Characters",1200,"What is the name of Shrek's wife?","Princess Fiona",false,1,3
double,"Characters",1600,"Which fairytale creature becomes Shrek's friend and helps him on his journey?","Puss in Boots",false,1,4
double,"Characters",2000,"Who is the gingerbread man that accompanies Shrek and Donkey?","Gingy",false,1,5
double,"Quotes",400,"What does Shrek say when he first meets Princess Fiona in the tower?",""What are you doing in my swamp?!"",true,2,1
double,"Quotes",800,"What does Donkey say when he first sees Lord Farquaad's castle?",""Whoa! Look at that! Who'd wanna live in a place like that?"",true,2,2
double,"Quotes",1200,"Finish this quote from Shrek: 'Ogres are like __________.'","onions",false,2,3
double,"Quotes",1600,"What does Lord Farquaad say after seeing Princess Fiona for the first time?",""She's perfect! I'll marry her!"",false,2,4
double,"Quotes",2000,"What does Donkey say to Shrek after they escape from Dragon?",""Man, you're a lot of fun. You're like a big, cuddly bear!"",false,2,5
double,"Songs",400,"What song does Shrek and Fiona sing together during their honeymoon montage in 'Shrek 2'?",""Livin' la Vida Loca"",true,3,1
double,"Songs",800,"What song plays during the credits of 'Shrek the Third'?",""Royal Pain" by Eels",true,3,2
double,"Songs",1200,"Which song does Puss in Boots perform in 'Shrek 2'?",""These Boots Are Made for Walkin'"",false,3,3
double,"Songs",1600,"What song does the Fairy Godmother sing during the potion factory scene in 'Shrek 2'?",""Holding Out for a Hero"",false,3,4
double,"Songs",2000,"What song does Donkey sing to Dragon to calm her down?",""Friends Never Say Goodbye"",false,3,5
double,"Locations",400,"What is the name of the kingdom ruled by King Harold and Queen Lillian?","Far Far Away",true,4,1
double,"Locations",800,"What is the name of the town where Shrek and Fiona are chased by the villagers in 'Shrek 2'?","Worcestershire",true,4,2
double,"Locations",1200,"Where do Shrek and Fiona go for their honeymoon in 'Shrek 2'?",""Far Far Away Idol" competition",false,4,3
double,"Locations",1600,"What is the name of the place where Shrek, Fiona, and the other fairytale creatures take refuge in 'Shrek the Third'?","Merlin's Island",false,4,4
double,"Locations",2000,"What is the name of the prison where Prince Charming gathers the fairytale villains in 'Shrek the Third'?","Rumpelstiltskin's Prison",false,4,5
double,"Trivia",400,"Which actor provides the voice for Donkey in the 'Shrek' movies?","Eddie Murphy",true,5,1
double,"Trivia",800,"What does Shrek compare himself to in 'Shrek 2' when talking about how he feels like a "monster"?",""A... freak show attraction!"",true,5,2
double,"Trivia",1200,"Which fairytale character is known for saying, "The better to eat you with"?","Big Bad Wolf",false,5,3
double,"Trivia",1600,"What is the name of the potion that Shrek drinks in 'Shrek the Third' to temporarily become a human?","Happily Ever After Potion",false,5,4
double,"Trivia",2000,"Which actor provides the voice for Puss in Boots in the 'Shrek' movies?","Antonio Banderas",false,5,5
final,"Shrek Films",0,"Which 'Shrek' film features the character Merlin?","Shrek the Third",false,1,1
