round,cat,val,q,a,dd,x,y
jeopardy,"Corporations and Greed",200,"What term is used to describe the practice of large corporations avoiding taxes by establishing subsidiaries in countries with lower tax rates?", "Tax avoidance",true,1,1
jeopardy,"Corporations and Greed",400,"Which company became notorious for its aggressive and unethical business practices, including creating fake accounts and charging customers for unauthorized services?", "Wells Fargo",false,1,2
jeopardy,"Corporations and Greed",600,"This billionaire CEO faced backlash for implementing cost-cutting measures, such as reducing employee benefits, while his company made record profits.", "Jeff Bezos",false,1,3
jeopardy,"Corporations and Greed",800,"What term is used to describe the phenomenon of a handful of corporations dominating an entire industry, often resulting in reduced competition and higher prices for consumers?", "Market monopoly",false,1,4
jeopardy,"Corporations and Greed",1000,"This multinational corporation faced criticism for its labor practices, including low wages, poor working conditions, and anti-union tactics.", "Walmart",false,1,5
jeopardy,"Wealth Disparity",200,"What is the term for the economic and social gap between the wealthiest individuals and the rest of society?", "Income inequality",false,2,1
jeopardy,"Wealth Disparity",400,"This term refers to the phenomenon of wealthy individuals and corporations avoiding their fair share of taxes through legal loopholes and offshore accounts.", "Tax evasion",false,2,2
jeopardy,"Wealth Disparity",600,"Which economic system, often associated with corporate greed, is characterized by private ownership of the means of production and the pursuit of profit?", "Capitalism",false,2,3
jeopardy,"Wealth Disparity",800,"What is the term for a government policy that favors the interests of wealthy individuals and corporations over the needs of the general population?", "Plutocracy",false,2,4
jeopardy,"Wealth Disparity",1000,"This phrase, popularized during the Occupy Wall Street movement, refers to the perceived imbalance of power and influence between the wealthiest 1% and the remaining 99% of the population.", "The 1% vs. the 99%",false,2,5
jeopardy,"Exploitative Labor Practices",200,"This term describes the practice of hiring temporary or part-time workers instead of full-time employees to avoid providing benefits and job security.", "Precarious work",false,3,1
jeopardy,"Exploitative Labor Practices",400,"Which retail giant has faced criticism for its employment practices, including low wages, unpredictable schedules, and inadequate healthcare coverage?", "Amazon",false,3,2
jeopardy,"Exploitative Labor Practices",600,"What term is used to describe the process of relocating a company's production to countries with lower labor costs, often resulting in job losses in the home country?", "Outsourcing",false,3,3
jeopardy,"Exploitative Labor Practices",800,"This term refers to the practice of hiring workers on a temporary basis, usually through third-party agencies, to avoid granting them the benefits and protections of permanent employment.", "Contract labor",false,3,4
