round,cat,val,q,a,dd,x,y
jeopardy,"Urban Dictionary",200,"What is the term for a person who excessively posts selfies on social media?", "Selfie addict",false,1,1
jeopardy,"Urban Dictionary",400,"What is the term for a person who pretends to be someone else online to deceive others?", "Catfish",false,1,2
jeopardy,"Urban Dictionary",600,"What is the term for a person who is easily offended or sensitive?", "Snowflake",false,1,3
jeopardy,"Urban Dictionary",800,"What is the term for a person who speaks or uses slang words from multiple languages?", "Polyglot",false,1,4
jeopardy,"Urban Dictionary",1000,"What is the term for a person who always arrives late?", "Chronic procrastinator",false,1,5
jeopardy,"Slang Words",200,"What is the term for a casual way of saying 'thank you'?", "Thanks a bunch",false,2,1
jeopardy,"Slang Words",400,"What is the term for a situation or event that is very disappointing?", "Total letdown",false,2,2
jeopardy,"Slang Words",600,"What is the term for a friend or close companion?", "BFF (Best Friend Forever)",false,2,3
jeopardy,"Slang Words",800,"What is the term for being in a state of extreme excitement or happiness?", "On cloud nine",false,2,4
jeopardy,"Slang Words",1000,"What is the term for someone who is very stylish or fashionable?", "Fashionista",false,2,5
jeopardy,"Acronyms",200,"What does the acronym 'LOL' stand for?", "Laugh out loud",false,3,1
jeopardy,"Acronyms",400,"What does the acronym 'BRB' stand for?", "Be right back",false,3,2
jeopardy,"Acronyms",600,"What does the acronym 'OMG' stand for?", "Oh my God",false,3,3
jeopardy,"Acronyms",800,"What does the acronym 'TTYL' stand for?", "Talk to you later",false,3,4
jeopardy,"Acronyms",1000,"What does the acronym 'FTW' stand for?", "For the win",false,3,5
jeopardy,"Internet Slang",200,"What is the term for a person who is new or inexperienced in a particular activity or online community?", "Noob",false,4,1
jeopardy,"Internet Slang",400,"What is the term for expressing strong approval or excitement online?", "Woot",false,4,2
jeopardy,"Internet Slang",600,"What is the term for deliberately provoking or annoying others online for one's own amusement?", "Trolling",false,4,3
jeopardy,"Internet Slang",800,"What is the term for sharing someone else's content on social media without giving proper credit?", "Repost",false,4,4
jeopardy,"Internet Slang",1000,"What is the term for the act of unfollowing or removing someone from one's social media connections?", "Unfriend",false,4,5
jeopardy,"Emoji Meanings",200,"What does the emoji 😂 commonly represent?", "Laughter",false,5,1
jeopardy,"Emoji Meanings",400,"What does the emoji ❤️ typically symbolize?", "Love",false,5,2
jeopardy,"Emoji Meanings",600,"What does the emoji 🙌 often signify?", "Celebration or excitement",false,5,3
jeopardy,"Emoji Meanings",800,"What does the emoji 🤔 usually indicate?", "Pondering or thinking",false,5,4
jeopardy,"Emoji Meanings",1000,"What does the emoji 👍 commonly express?", "Approval or agreement",false,5,5
jeopardy,"Word Origins",200,"What is the origin of the word 'meme'?", "It was coined by Richard Dawkins in 1976",false,6,1
jeopardy,"Word Origins",400,"What is the origin of the term 'YOLO'?", "It was popularized by rapper Drake in 2011",false,6,2
